DateTime,AddedIPs,RemovedIPs
1546433084,3,0
1546435053,3,0
1546436943,1,4
1546438864,0,2
1546442683,0,3
1546444601,0,4
1546446525,0,1
1546448557,1,1
1546450608,6,1
1546452522,1,0
1546454696,0,2
1546456618,0,4
1546460903,1,0
1546466721,1,0
1546468847,2,1
1546470760,0,3
1546472706,0,6
1546474867,0,3
1546477349,0,6
1546481103,0,2
1546483002,4,1
1546484906,1,3
1546487072,0,4
1546489256,0,5
1546491140,1,0
1546493062,1,5
1546495126,0,5
1546497181,0,3
1546499111,0,1
1546501013,0,1
1546502910,1,0
1546504865,1,1
1546506745,0,2
1546508701,2,1
1546510603,0,3
1546512533,0,4
1546514428,1,5
1546516356,0,3
1546518277,0,4
1546520213,1,4
1546522379,1,2
1546524561,2,0
1546528387,2,0
1546530282,4,0
1546536282,0,3
1546538207,1,3
1546546367,0,3
1546550232,1,0
1546552132,0,2
1546554060,0,2
1546560172,0,1
1546562203,0,1
1546568176,0,2
1546570112,0,3
1546578133,0,2
1546580196,0,1
1546584255,0,1
1546586214,1,1
1546588102,0,1
1546593886,1,0
1546596121,0,2
1546601812,0,1
1546605865,0,1
1546609963,1,3
1546613850,0,2
1546615947,0,3
1546618177,0,1
1546624141,0,1
1546636148,0,1
1546657976,1,0
1546675749,0,1
1546677634,1,0
1546679572,1,1
1546689399,1,0
1546697085,0,1
1546708847,0,1
1546722333,2,0
1546726369,1,0
1546743920,1,0
1546746059,0,1
1546749870,1,0
1546764035,0,1
1546765963,1,1
1546773897,1,0
1546789748,1,0
1546795755,1,0
1546799565,2,0
1546809191,0,2
1546813322,0,1
1546817104,1,0
1546821170,1,0
1546827213,1,0
1546831035,0,1
1546835080,0,1
1546840969,1,0
1546846600,1,0
1546852365,1,0
1546854327,2,0
1546858531,1,0
1546862568,1,0
1546874197,1,0
1546884128,1,4
1546885993,0,2
1546903509,0,1
1546905440,1,0
1546907590,0,1
1546919323,1,0
1546927002,0,1
1546933269,0,1
1546935151,1,0
1546937072,1,0
1546939004,0,1
1546941175,0,2
1546943103,0,1
1546948911,0,1
1546961108,0,1
1546970746,0,1
1546992537,0,1
1546996408,1,1
1547002397,0,1
1547004274,0,1
1547019897,0,1
1547023990,0,1
1547067916,1,0
1547082575,1,1
1547084470,1,0
1547094319,1,0
1547155307,0,1
1547167001,0,1
1547170833,0,1
1547178511,1,0
1547180438,1,0
1547182383,0,1
1547194372,1,0
1547245259,1,0
1547265750,0,1
1547267574,1,1
1547279572,0,1
1547327347,1,0
1547331413,0,1
1547339577,1,0
1547353968,0,1
1547358071,1,0
1547371733,1,0
1547383486,1,0
1547387339,1,0
1547393576,1,0
1547397652,1,0
1547405555,1,0
1547407506,1,0
1547413506,0,1
1547417584,1,0
1547423314,1,0
1547425262,0,1
1547443041,0,1
1547459096,0,1
1547461283,1,0
1547469290,0,1
1547473019,0,1
1547479023,0,1
1547480938,1,0
1547482880,0,1
1547502293,1,0
1547504620,0,1
1547511164,0,1
1547519120,1,0
1547540687,2,0
1547546708,0,1
1547554871,1,0
1547566626,1,1
1547572602,1,0
1547574562,0,1
1547590386,1,1
1547592298,1,0
1547600218,1,0
1547604126,1,0
1547605967,0,1
1547607959,0,1
1547627557,0,2
1547629496,1,0
1547631381,1,0
1547635498,5,0
1547639569,0,1
1547641496,2,0
1547645571,3,0
1547649659,3,0
1547651567,2,0
1547653467,0,1
1547655391,1,0
1547657558,2,0
1547659502,0,1
1547661377,1,0
1547663557,1,0
1547665504,1,0
1547669549,2,0
1547671485,2,0
1547673410,1,0
1547675325,4,0
1547677251,3,1
1547679225,2,1
1547683010,2,0
1547684926,1,0
1547687117,0,1
1547689279,4,0
1547691157,1,1
1547693092,1,0
1547697191,1,0
1547699091,3,0
1547700980,1,0
1547703167,1,0
1547707254,3,0
1547709428,3,0
1547711340,5,0
1547713253,1,0
1547715184,1,1
1547717081,1,0
1547718999,1,0
1547721212,2,2
1547723133,4,3
1547725052,1,0
1547727183,2,2
1547729084,2,0
1547731017,0,1
1547733157,1,2
1547735115,2,1
1547737022,0,3
1547738920,0,1
1547740916,4,1
1547742789,1,1
1547744747,1,2
1547746876,1,1
1547748808,3,0
1547750707,2,2
1547752867,1,0
1547756700,2,2
1547758621,1,2
1547760542,0,2
1547762517,1,2
1547764351,0,3
1547766351,0,1
1547768223,1,1
1547770121,3,1
1547772061,3,1
1547774211,2,2
1547776235,2,3
1547778038,2,0
1547779985,0,1
1547781928,0,1
1547785959,0,2
1547787945,1,1
1547790071,3,1
1547791988,2,0
1547793882,3,3
1547795836,1,3
1547797713,2,4
1547799690,3,2
1547801608,0,1
1547803843,0,1
1547805726,0,1
1547807583,0,1
1547809561,0,5
1547811428,0,1
1547813572,1,2
1547815488,1,2
1547817404,1,0
1547819580,1,1
1547821500,0,2
1547825580,0,1
1547827538,4,3
1547829800,0,2
1547832087,1,0
1547833963,4,4
1547835902,5,2
1547837787,1,1
1547839973,1,2
1547841989,3,0
1547843846,1,3
1547845994,4,0
1547847872,0,1
1547849802,1,0
1547853879,3,0
1547855818,1,4
1547857717,5,4
1547859731,1,1
1547861589,1,2
1547863477,2,0
1547865661,1,2
1547867562,1,0
1547871664,1,0
1547873600,1,1
1547875484,0,3
1547877389,1,0
1547879312,1,4
1547881321,1,0
1547883179,0,3
1547885150,2,1
1547886986,1,2
1547889171,1,0
1547893272,1,0
1547895166,1,0
1547897068,1,0
1547899011,0,1
1547900925,1,2
1547902923,5,1
1547904783,1,0
1547906738,1,1
1547908612,3,0
1547910774,1,0
1547912691,1,1
1547914694,3,2
1547916785,2,1
1547918828,4,0
1547920896,2,3
1547922756,0,3
1547924688,0,2
1547926594,1,2
1547928783,2,1
1547930680,0,3
1547932616,1,2
1547936698,0,1
1547938918,2,1
1547940758,1,3
1547942755,1,4
1547944611,2,2
1547946520,1,1
1547948466,2,0
1547950359,1,2
1547952278,1,1
1547954207,5,1
1547956113,1,0
1547958061,0,1
1547959960,0,1
1547961898,3,1
1547963810,1,1
1547965712,1,1
1547967689,3,1
1547971553,3,2
1547973413,1,2
1547977229,0,1
1547979170,0,2
1547983014,1,1
1547985178,1,1
1547987092,0,1
1547988992,4,5
1547991181,0,1
1547993115,1,1
1547995254,1,4
1547997183,2,1
1547999101,3,1
1548001009,2,2
1548002916,0,1
1548004864,0,5
1548006789,2,2
1548010591,1,0
1548012768,3,0
1548014731,2,3
1548016842,1,1
1548018791,1,1
1548020679,2,1
1548022596,2,0
1548024816,3,2
1548028981,2,2
1548031259,2,3
1548033457,3,1
1548035314,1,1
1548037245,4,0
1548039159,2,5
1548041134,1,1
1548042989,0,1
1548044933,2,0
1548048754,2,3
1548050770,0,1
1548052589,2,1
1548054762,4,3
1548056676,0,2
1548058642,1,1
1548060784,3,1
1548062668,4,0
1548064617,2,0
1548066763,1,0
1548068750,1,1
1548070617,1,0
1548072513,2,1
1548074470,2,1
1548076499,0,1
1548078540,2,0
1548080448,1,1
1548082399,2,2
1548084325,2,0
1548086504,2,2
1548088381,2,1
1548090334,1,0
1548092212,1,2
1548094361,1,0
1548096321,0,1
1548098215,0,1
1548100131,2,3
1548102049,0,1
1548104012,0,1
1548106181,0,2
1548108094,0,2
1548109975,1,2
1548111960,1,2
1548113788,1,0
1548115988,3,3
1548117885,2,1
1548119805,0,2
1548121739,0,2
1548123896,0,4
1548125784,3,2
1548127742,1,2
1548129707,1,1
1548131585,3,1
1548133525,2,0
1548135387,1,2
1548137347,1,0
1548139230,0,1
1548141176,1,3
1548143067,2,1
1548145260,1,1
1548147172,0,5
1548149090,2,5
1548151007,0,2
1548152917,0,1
1548154933,0,1
1548156781,0,1
1548158719,1,2
1548160625,0,1
1548162541,0,1
1548164428,0,2
1548166390,1,1
1548168271,0,1
1548170482,0,3
1548172375,0,1
1548174268,0,1
1548176211,0,1
1548178105,1,1
1548180100,0,2
1548185794,1,1
1548187963,3,1
1548191793,2,0
1548193709,4,0
1548195629,2,0
1548197615,0,1
1548199734,2,2
1548201804,2,3
1548204032,1,4
1548205996,1,0
1548207868,2,0
1548209816,1,0
1548211734,3,3
1548213658,0,1
1548215541,2,1
1548217472,1,1
1548219453,0,4
1548221589,3,2
1548225658,2,1
1548227566,5,1
1548229498,0,2
1548231401,1,1
1548233309,2,0
1548235500,1,2
1548239683,1,0
1548245607,1,1
1548247480,1,0
1548249421,3,0
1548251559,2,0
1548253552,2,1
1548259330,1,0
1548261416,3,0
1548263316,2,0
1548265495,2,1
1548271479,4,1
1548273420,3,3
1548275573,1,0
1548277531,0,2
1548279657,1,3
1548281562,1,3
1548285436,1,1
1548287590,3,2
1548289517,0,1
1548291400,0,2
1548295532,1,3
1548297425,3,2
1548299375,2,1
1548301304,3,1
1548303201,1,1
1548305347,1,1
1548307509,1,1
1548309410,0,2
1548311328,3,1
1548313335,1,5
1548315164,3,1
1548317125,1,0
1548319235,0,2
1548321167,0,2
1548323099,0,1
1548325247,1,0
1548327171,0,1
1548329074,1,0
